Name,POS,GP,G,A,PTS,+/-,PIM,TOI/G,PPG,PPA,S,S%,SHFT,GWG,FW,FL,FO%,SOA,SOG,SO%
Nathan MacKinnon,C,62,23,70,93,20,31,22:53,7,23,249,9.2,1496,4,578,592,49.4,1,0,0.0
Leon Draisaitl,C,61,45,47,92,24,28,21:33,14,14,203,22.2,1335,9,572,476,54.6,0,0,0.0
Nikita Kucherov,RW,58,28,62,90,17,39,21:42,5,31,201,13.9,1347,8,1,1,50.0,1,0,0.0
David Pastrnak,RW,63,32,45,77,-3,30,20:16,6,12,261,12.3,1472,4,3,5,37.5,1,0,0.0
Connor McDavid,C,55,23,54,77,1,29,22:08,9,19,170,13.5,1163,3,304,331,47.9,1,0,0.0
Mitch Marner,RW,61,19,58,77,10,12,21:35,6,20,137,13.9,1516,6,6,15,28.6,1,0,0.0
Kyle Connor,LW,62,31,45,76,11,23,20:21,9,16,206,15.0,1358,6,1,7,12.5,2,1,50.0
Jack Eichel,C,60,20,54,74,28,6,20:58,4,23,189,10.6,1311,2,455,521,46.6,3,2,66.7
Mikko Rantanen,RW,61,27,43,70,10,36,21:57,9,12,172,15.7,1426,6,126,110,53.4,2,0,0.0
Jesper Bratt,LW,63,17,53,70,10,14,18:41,4,23,139,12.2,1466,1,0,3,0.0,2,0,0.0
Jack Hughes,C,62,27,43,70,12,18,20:54,6,21,229,11.8,1411,7,251,416,37.6,2,0,0.0
Clayton Keller,RW,60,22,47,69,-6,16,19:12,6,22,164,13.4,1370,4,9,20,31.0,3,0,0.0
Mark Scheifele,C,62,34,34,68,8,41,20:27,9,12,134,25.4,1309,9,458,489,48.4,2,0,0.0
Brandon Hagel,LW,61,30,38,68,28,44,21:07,0,7,177,16.9,1488,4,7,15,31.8,0,0,0.0
Cale Makar,D,62,22,46,68,18,12,25:46,9,19,192,11.5,1651,3,0,0,0.0,1,0,0.0
Martin Necas,C,62,20,48,68,5,12,18:53,8,19,150,13.3,1239,7,48,79,37.8,1,0,0.0
Sidney Crosby,C,62,19,47,66,-25,23,20:23,7,12,177,10.7,1518,5,791,619,56.1,6,1,16.7
Zach Werenski,D,60,20,46,66,14,29,26:56,5,16,216,9.3,1559,4,0,0,0.0,0,0,0.0
Nick Suzuki,C,61,19,46,65,6,6,19:30,3,19,126,15.1,1260,5,476,468,50.4,3,0,0.0
Sam Reinhart,C,62,31,33,64,11,27,20:29,9,12,166,18.7,1538,3,169,250,40.3,3,1,33.3
Brayden Point,C,56,32,32,64,10,2,19:39,13,13,145,22.1,1228,6,332,329,50.2,1,0,0.0
Artemi Panarin,LW,60,26,38,64,-7,16,19:44,8,13,186,14.0,1278,2,0,1,0.0,1,0,0.0
Tim Stutzle,C,61,20,44,64,-1,28,20:00,3,23,126,15.9,1482,1,123,155,44.2,3,1,33.3
Lucas Raymond,LW,61,22,41,63,-7,18,18:55,6,23,143,15.4,1392,3,0,3,0.0,3,2,66.7
William Nylander,RW,62,35,28,63,4,16,19:53,8,15,203,17.2,1389,8,66,72,47.8,1,1,100.0
Travis Konecny,RW,62,22,41,63,-7,45,20:40,8,8,145,15.2,1507,3,27,51,34.6,7,3,42.9
Matt Duchene,C,61,25,37,62,10,8,17:17,7,15,112,22.3,1277,6,321,274,54.0,2,1,50.0
Jason Robertson,LW,61,25,37,62,6,10,17:47,8,8,171,14.6,1272,4,6,11,35.3,3,2,66.7
Dylan Strome,C,62,18,43,61,10,24,17:34,6,20,112,16.1,1266,2,545,451,54.7,4,1,25.0
Jake Guentzel,C,60,29,31,60,14,18,19:59,13,7,160,18.1,1355,3,141,162,46.5,1,1,100.0
Quinn Hughes,D,50,14,46,60,10,27,25:07,3,19,143,9.8,1253,3,0,0,0.0,0,0,0.0
Kirill Marchenko,RW,58,24,36,60,32,14,18:48,2,14,156,15.4,1224,2,11,24,31.4,3,2,66.7
Sebastian Aho,C,61,23,36,59,1,42,20:16,3,15,166,13.9,1365,7,532,425,55.6,2,0,0.0
Matthew Tkachuk,LW,52,22,35,57,-3,54,18:13,11,12,156,14.1,1161,2,1,4,20.0,1,0,0.0
Wyatt Johnston,C,61,22,35,57,7,12,19:07,7,13,165,13.3,1404,2,345,349,49.7,2,1,50.0
Aleksander Barkov,C,52,16,40,56,1,12,20:24,7,15,115,13.9,1297,3,476,331,59.0,3,2,66.7
Filip Forsberg,LW,61,22,33,55,-16,36,18:45,7,11,215,10.2,1375,2,1,9,10.0,0,0,0.0
