Season,Rk,Unnamed: 1,Name,Team,Age,Pos,GP,G,A,P,PIM,+/-,PPG,SHG,GWG,G/GP,A/GP,P/GP,SOG,SH%
2022-23,1,,Alex Limoges,MTB,25,F,63,20,34,54,12,5.0,8,0,4,0.317,0.54,0.857,139.0,14.4%
2022-23,2,,Jansen Harkins,MTB,25,F,44,25,25,50,36,11.0,5,1,6,0.568,0.568,1.136,120.0,20.8%
2022-23,3,,Leon Gawanke,MTB,23,D,68,20,25,45,51,-6.0,7,0,3,0.294,0.368,0.662,177.0,11.3%
2022-23,4,,Jeff Malott,MTB,26,F,71,23,21,44,82,-3.0,9,0,3,0.324,0.296,0.62,180.0,12.8%
2022-23,5,,Declan Chisholm,MTB,22,D,59,5,38,43,21,-13.0,3,0,3,0.085,0.644,0.729,97.0,5.2%
2022-23,6,,Ville Heinola,MTB,21,D,48,4,33,37,46,20.0,1,1,0,0.083,0.688,0.771,118.0,3.4%
2022-23,7,,Dominic Toninato,MTB,28,F,50,19,16,35,24,8.0,6,1,6,0.38,0.32,0.7,115.0,16.5%
2022-23,8,,Cole Maier,MTB,27,F,52,15,12,27,58,7.0,1,1,1,0.288,0.231,0.519,113.0,13.3%
2022-23,9,,Kristian Reichel,MTB,24,F,61,9,15,24,28,-7.0,0,2,0,0.148,0.246,0.393,103.0,8.7%
2022-23,10,,Daniel Torgersson,MTB,20,F,69,11,9,20,10,-9.0,2,0,0,0.159,0.13,0.29,114.0,9.7%
2022-23,11,,Evan Polei,MTB,26,F,52,8,12,20,90,1.0,1,0,0,0.154,0.231,0.385,69.0,11.6%
2022-23,12,,Tyler Boland,MTB,26,F,44,9,10,19,0,3.0,1,0,1,0.205,0.227,0.432,55.0,16.4%
2022-23,13,,Greg Meireles,MTB,23,F,62,9,10,19,24,-12.0,1,0,3,0.145,0.161,0.306,72.0,12.5%
2022-23,14,,Wyatt Bongiovanni,MTB,23,F,56,13,5,18,32,-17.0,5,0,1,0.232,0.089,0.321,82.0,15.9%
2022-23,15,,Dean Stewart,MTB,24,D,61,1,17,18,26,-4.0,0,0,0,0.016,0.279,0.295,80.0,1.3%
2022-23,16,,Simon Lundmark,MTB,22,D,64,3,14,17,18,2.0,0,0,1,0.047,0.219,0.266,58.0,5.2%
2022-23,17,,Nick Jones,MTB,26,F,70,3,14,17,44,-2.0,0,1,1,0.043,0.2,0.243,77.0,3.9%
2022-23,18,,Henri Nikkanen,MTB,21,F,66,5,11,16,24,-4.0,0,0,0,0.076,0.167,0.242,54.0,9.3%
2022-23,19,,Kevin Stenlund,MTB,26,F,19,4,10,14,26,-2.0,2,0,0,0.211,0.526,0.737,47.0,8.5%
2022-23,20,,Ashton Sautner,MTB,28,D,68,2,10,12,50,3.0,0,0,0,0.029,0.147,0.176,104.0,1.9%
2022-23,21,,Michael Eyssimont,MTB,26,F,9,2,7,9,27,8.0,0,0,0,0.222,0.778,1.0,33.0,6.1%
2022-23,22,,Tyrel Bauer,MTB,20,D,47,2,5,7,103,-1.0,0,0,0,0.043,0.106,0.149,36.0,5.6%
2022-23,23,,Brayden Burke,MTB,25,F,10,2,4,6,4,1.0,0,0,0,0.2,0.4,0.6,11.0,18.2%
2022-23,24,,Chaz Lucius,MTB,19,F,12,2,3,5,6,-2.0,1,0,0,0.167,0.25,0.417,17.0,11.8%
2022-23,25,,Axel Jonsson Fjällby,MTB,24,F,4,3,1,4,2,1.0,0,0,2,0.75,0.25,1.0,13.0,23.1%
2022-23,26,,Parker Ford,MTB,22,F,8,2,2,4,4,3.0,0,0,0,0.25,0.25,0.5,10.0,20.0%
2022-23,27,,Brad Lambert,MTB,19,F,14,2,1,3,8,-9.0,0,0,0,0.143,0.071,0.214,29.0,6.9%
2022-23,28,,Jimmy Oligny,MTB,29,D,17,0,3,3,30,-5.0,0,0,0,0.0,0.176,0.176,14.0,0.0%
2022-23,29,,Isaac Johnson,MTB,23,F,11,1,1,2,4,-1.0,0,0,0,0.091,0.091,0.182,14.0,7.1%
2022-23,30,,Thomas Caron,MTB,22,F,7,0,2,2,5,-1.0,0,0,0,0.0,0.286,0.286,2.0,0.0%
2022-23,31,,Arvid Holm,MTB,24,G,35,0,2,2,2,,0,0,0,0.0,0.057,0.057,,
2022-23,32,,Joseph Nardi,MTB,25,F,4,1,0,1,0,-1.0,0,0,0,0.25,0.0,0.25,4.0,25.0%
2022-23,33,,Carson Golder,MTB,20,D,1,0,1,1,2,1.0,0,0,0,0.0,1.0,1.0,1.0,0.0%
2022-23,34,,Chris Martenet,MTB,26,D,1,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.00%
2022-23,35,,Evan Cormier,MTB,25,G,2,0,0,0,0,,0,0,0,0.0,0.0,0.0,,
2022-23,36,,Jacob Friend,MTB,25,D,2,0,0,0,5,-2.0,0,0,0,0.0,0.0,0.0,1.0,0.0%
2022-23,37,,Zack Andrusiak,MTB,24,F,2,0,0,0,2,0.0,0,0,0,0.0,0.0,0.0,0.0,0.00%
2022-23,38,,Colin Bilek,MTB,25,F,2,0,0,0,7,0.0,0,0,0,0.0,0.0,0.0,0.0,0.00%
2022-23,39,,Simon Kubicek,MTB,21,D,3,0,0,0,2,-5.0,0,0,0,0.0,0.0,0.0,4.0,0.0%
2022-23,40,,Oskari Salminen,MTB,23,G,39,0,0,0,2,,0,0,0,0.0,0.0,0.0,,
