Season,Rk,Unnamed: 1,Name,Team,Age,Pos,GP,G,A,P,PIM,+/-,PPG,SHG,GWG,G/GP,A/GP,P/GP,SOG,SH%
2023-24,1,,Brad Lambert,MTB,20,F,64,21,34,55,38,-6.0,7,0,1,0.328,0.531,0.859,172.0,12.2%
2023-24,2,,Kyle Capobianco,MTB,26,D,69,12,42,54,46,29.0,6,1,1,0.174,0.609,0.783,138.0,8.7%
2023-24,3,,Jeff Malott,MTB,27,F,70,22,30,52,66,3.0,5,1,2,0.314,0.429,0.743,167.0,13.2%
2023-24,4,,Nikita Chibrikov,MTB,20,F,70,17,30,47,53,-18.0,7,0,0,0.243,0.429,0.671,146.0,11.6%
2023-24,5,,Kristian Reichel,MTB,25,F,70,23,19,42,38,12.0,3,2,2,0.329,0.271,0.6,148.0,15.5%
2023-24,6,,Parker Ford,MTB,23,F,72,18,23,41,57,-9.0,6,0,7,0.25,0.319,0.569,172.0,10.5%
2023-24,7,,Jeffrey Truchon-Viel,MTB,26,F,69,17,23,40,142,-4.0,3,2,2,0.246,0.333,0.58,157.0,10.8%
2023-24,8,,Axel Jonsson Fjällby,MTB,25,F,41,12,18,30,4,13.0,2,1,3,0.293,0.439,0.732,89.0,13.5%
2023-24,9,,Ville Heinola,MTB,22,D,41,10,17,27,24,6.0,1,1,1,0.244,0.415,0.659,91.0,11.0%
2023-24,10,,C.J. Suess,MTB,29,F,68,10,10,20,26,-17.0,2,0,3,0.147,0.147,0.294,96.0,10.4%
2023-24,11,,Dominic Toninato,MTB,29,F,37,7,13,20,28,-4.0,2,2,1,0.189,0.351,0.541,70.0,10.0%
2023-24,12,,Dawson Barteaux,MTB,23,D,45,5,14,19,4,13.0,0,0,1,0.111,0.311,0.422,48.0,10.4%
2023-24,13,,Simon Lundmark,MTB,23,D,67,5,12,17,22,-15.0,2,0,1,0.075,0.179,0.254,79.0,6.3%
2023-24,14,,Nick Jones,MTB,27,F,47,6,10,16,45,4.0,0,1,0,0.128,0.213,0.34,52.0,11.5%
2023-24,15,,Wyatt Bongiovanni,MTB,24,F,34,8,7,15,26,-12.0,4,1,1,0.235,0.206,0.441,56.0,14.3%
2023-24,16,,Chaz Lucius,MTB,20,F,17,2,11,13,6,-4.0,1,0,0,0.118,0.647,0.765,23.0,8.7%
2023-24,17,,Henri Nikkanen,MTB,22,F,57,7,5,12,16,-3.0,0,1,0,0.123,0.088,0.211,62.0,11.3%
2023-24,18,,Ashton Sautner,MTB,29,D,65,5,6,11,44,-11.0,0,0,1,0.077,0.092,0.169,76.0,6.6%
2023-24,19,,Daniel Torgersson,MTB,21,F,52,1,8,9,12,-9.0,0,0,0,0.019,0.154,0.173,57.0,1.8%
2023-24,20,,Danny Zhilkin,MTB,20,F,44,2,5,7,22,-19.0,0,0,0,0.045,0.114,0.159,61.0,3.3%
2023-24,21,,Tyrel Bauer,MTB,21,D,56,2,5,7,83,-17.0,0,0,0,0.036,0.089,0.125,60.0,3.3%
2023-24,22,,Carson Golder,MTB,21,D,14,2,4,6,4,2.0,0,0,2,0.143,0.286,0.429,17.0,11.8%
2023-24,23,,Dean Stewart,MTB,25,D,35,1,4,5,25,-6.0,0,0,0,0.029,0.114,0.143,40.0,2.5%
2023-24,24,,Declan Chisholm,MTB,23,D,6,0,5,5,6,0.0,0,0,0,0.0,0.833,0.833,7.0,0.0%
2023-24,25,,Artemi Knyazev,MTB,22,D,20,0,5,5,18,-12.0,0,0,0,0.0,0.25,0.25,48.0,0.0%
2023-24,26,,Colby Barlow,MTB,18,F,3,1,2,3,0,2.0,1,0,0,0.333,0.667,1.0,3.0,33.3%
2023-24,27,,Dmitri Kuzmin,MTB,20,D,18,1,2,3,6,-3.0,0,0,0,0.056,0.111,0.167,21.0,4.8%
2023-24,28,,David Gustafsson,MTB,23,F,6,0,3,3,2,-1.0,0,0,0,0.0,0.5,0.5,7.0,0.0%
2023-24,29,,Thomas Caron,MTB,23,F,8,2,0,2,4,0.0,0,0,0,0.25,0.0,0.25,5.0,40.0%
2023-24,30,,Mark Liwiski,MTB,22,F,7,1,1,2,26,1.0,0,0,0,0.143,0.143,0.286,11.0,9.1%
2023-24,31,,Brett Kemp,MTB,23,F,10,0,2,2,0,1.0,0,0,0,0.0,0.2,0.2,10.0,0.0%
2023-24,32,,Simon Kubicek,MTB,22,D,1,0,1,1,0,0.0,0,0,0,0.0,1.0,1.0,2.0,0.0%
2023-24,33,,Dylan Anhorn,MTB,24,D,2,0,1,1,0,0.0,0,0,0,0.0,0.5,0.5,2.0,0.0%
2023-24,34,,Jimmy Oligny,MTB,30,D,8,0,1,1,11,-1.0,0,0,0,0.0,0.125,0.125,12.0,0.0%
2023-24,35,,Collin Delia,MTB,29,G,32,0,1,1,2,,0,0,0,0.0,0.031,0.031,,
2023-24,36,,Thomas Milic,MTB,20,G,33,0,1,1,0,,0,0,0,0.0,0.03,0.03,,
2023-24,37,,Rasmus Kupari,MTB,23,F,1,0,0,0,0,-2.0,0,0,0,0.0,0.0,0.0,2.0,0.0%
2023-24,38,,Brett Brochu,MTB,21,G,1,0,0,0,0,,0,0,0,0.0,0.0,0.0,,
2023-24,39,,Connor Levis,MTB,19,F,2,0,0,0,0,1.0,0,0,0,0.0,0.0,0.0,0.0,0.00%
2023-24,40,,Oskari Salminen,MTB,24,G,12,0,0,0,2,,0,0,0,0.0,0.0,0.0,,
