Name,POS,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,REB,AST,STL,BLK,TO,Year
DeWanna Bonner,F,32,35.0,20.6,6.6,18.2,36.4,1.6,5.8,28.3,5.8,6.8,85.2,7.2,2.2,1.7,0.9,2.3,2012
Cappie Pondexter,G,34,34.1,20.4,7.3,16.9,43.5,1.6,4.8,32.7,4.2,4.9,86.7,4.5,4.3,1.3,0.2,3.1,2012
Epiphanny Prince,G,26,30.0,18.1,6.0,13.7,44.2,2.3,5.6,40.7,3.8,4.2,89.9,3.5,3.1,1.8,0.3,2.0,2012
Tina Charles,C,33,33.2,18.0,7.6,15.2,49.9,0.0,0.2,20.0,2.8,3.5,80.2,10.5,1.7,0.5,1.4,2.2,2012
Kristi Toliver,G,34,31.5,17.5,5.8,11.8,49.1,1.9,4.4,42.4,4.0,4.5,90.1,3.2,4.9,1.3,0.1,3.6,2012
Candace Parker,F,33,30.7,17.4,6.9,14.4,48.1,0.6,1.8,32.2,3.0,4.2,71.0,9.7,3.3,1.5,2.3,3.0,2012
Tamika Catchings,F,34,30.6,17.4,5.9,13.6,43.2,1.5,3.9,37.9,4.1,4.8,86.4,7.6,3.1,2.1,0.9,1.7,2012
Seimone Augustus,G,29,28.5,16.6,6.6,13.5,49.1,1.6,3.6,43.7,1.8,2.1,85.2,3.6,2.5,0.9,0.2,1.7,2012
Katie Douglas,G,32,31.0,16.5,5.8,13.9,41.3,2.5,5.9,42.3,2.5,3.0,84.4,3.8,2.2,1.5,0.3,1.7,2012
Maya Moore,F,34,29.8,16.4,5.9,12.6,46.5,2.1,5.5,38.8,2.6,2.9,87.9,6.0,3.6,1.5,0.6,1.8,2012
Sophia Young-Malcolm,F,33,31.8,16.3,6.4,12.3,52.1,0.0,0.1,0.0,3.4,4.8,70.6,7.2,2.1,2.2,0.4,1.7,2012
Sylvia Fowles,C,25,31.1,16.2,6.3,9.8,63.8,0.0,0.0,0.0,3.7,5.3,69.2,10.4,0.8,1.3,1.2,2.1,2012
Kara Lawson,G,34,31.4,15.1,5.0,10.1,49.3,2.2,5.1,43.0,2.9,3.1,93.5,3.9,4.0,0.8,0.1,1.8,2012
Crystal Langhorne,F,31,32.2,14.7,6.1,10.9,56.2,0.0,0.3,12.5,2.4,3.8,64.1,6.3,1.4,1.5,0.1,2.4,2012
Becky Hammon,G,33,30.2,14.7,4.8,11.0,44.1,2.4,5.6,43.5,2.6,2.9,87.6,2.5,5.3,0.9,0.2,3.2,2012
Ivory Latta,G,34,28.4,14.3,5.1,12.0,43.0,2.0,5.2,39.0,2.0,2.4,84.0,2.2,3.3,0.9,0.1,2.1,2012
Sancho Lyttle,F,34,31.6,14.0,5.9,14.2,41.3,0.8,3.2,25.5,1.5,1.9,75.8,7.6,2.5,2.4,0.7,2.6,2012
Nneka Ogwumike,F,33,27.9,14.0,5.4,10.1,53.5,0.0,0.2,14.3,3.2,4.3,73.4,7.5,1.2,1.4,0.9,1.3,2012
Lindsey Harding,G,34,30.6,12.3,4.6,10.9,42.5,0.4,1.7,24.1,2.6,3.2,81.8,2.8,4.5,1.4,0.2,2.1,2012
Sue Bird,G,29,31.1,12.2,4.6,10.0,45.9,1.8,4.8,38.4,1.2,1.6,78.3,2.9,5.3,0.9,0.1,2.2,2012
Temeka Johnson,G,29,28.7,12.2,4.4,10.6,41.6,1.2,2.2,53.1,2.2,2.6,84.0,3.2,4.7,1.2,0.0,2.7,2012
Charde Houston,F,27,25.7,12.0,4.7,11.4,40.8,1.4,4.1,34.8,1.3,1.7,72.3,3.4,1.6,1.3,0.4,1.9,2012
Plenette Pierson,F,26,24.7,12.0,4.7,10.1,46.6,0.2,0.7,27.8,2.4,3.2,75.9,5.4,2.3,0.7,0.9,2.3,2012
Monique Currie,F,34,24.1,12.0,3.8,9.4,40.4,0.6,2.4,27.5,3.7,4.8,77.4,3.6,1.7,1.0,0.2,1.7,2012
Danielle Adams,F,34,20.4,11.8,4.1,9.4,44.1,1.1,3.3,33.9,2.4,3.2,75.9,4.7,1.0,0.7,0.7,1.2,2012
Renee Montgomery,G,34,24.0,11.6,3.4,9.8,34.8,1.4,3.8,36.4,3.4,4.1,84.8,1.9,2.6,1.0,0.1,2.2,2012
Essence Carson,F,34,27.3,11.6,4.6,11.6,40.0,1.1,3.1,34.3,1.2,1.6,77.8,3.4,1.7,1.1,0.7,1.7,2012
Samantha Prahalis,G,28,31.7,11.6,4.2,12.0,35.2,1.0,3.8,27.1,2.1,2.4,86.8,3.2,4.5,1.6,0.1,3.0,2012
Lindsay Whalen,G,33,27.0,11.5,4.5,8.9,50.5,0.4,0.8,50.0,2.2,3.0,72.7,4.2,5.4,0.7,0.2,2.1,2012
Glory Johnson,F,34,28.3,11.5,3.9,8.0,48.2,0.0,0.0,0.0,3.8,5.6,67.7,6.8,1.1,2.1,0.6,2.1,2012
Alana Beard,G,33,30.8,11.4,4.2,9.5,43.6,1.1,2.6,40.2,2.0,2.5,79.5,2.2,3.3,2.0,0.4,2.5,2012
Rebekkah Brunson,F,31,27.0,11.4,4.5,8.8,50.5,0.0,0.0,0.0,2.5,3.6,67.9,8.9,1.2,1.2,0.9,1.3,2012
Camille Little,F,34,28.0,11.3,3.8,8.1,47.4,0.3,1.0,33.3,3.3,4.5,73.9,5.1,1.9,0.7,0.5,2.7,2012
Jia Perkins,G,33,23.0,10.6,3.9,10.2,38.0,1.5,3.8,38.6,1.4,1.8,75.4,2.8,1.9,1.6,0.4,0.9,2012
Swin Cash,F,34,30.0,10.6,3.7,10.1,36.7,0.9,3.4,28.1,2.2,2.9,76.5,5.8,2.3,1.0,0.5,2.8,2012
Riquna Williams,G,33,20.2,10.5,3.5,10.2,34.4,1.2,3.5,32.5,2.3,2.8,82.4,2.4,2.1,1.5,0.3,1.4,2012
Briann January,G,31,28.5,10.3,3.2,7.9,40.4,1.5,3.5,43.0,2.5,2.8,87.4,1.8,3.9,1.2,0.1,2.5,2012
DeLisha Milton-Jones,F,34,27.3,10.0,3.6,8.7,41.7,0.9,2.6,32.6,1.9,2.3,82.3,4.4,1.8,1.0,0.7,1.9,2012
Danielle Robinson,G,34,29.0,9.9,4.3,7.9,54.1,0.0,0.2,0.0,1.3,1.6,78.2,2.5,4.3,1.4,0.1,1.6,2012
Ann Wauters,C,25,23.0,9.6,3.8,7.3,51.9,0.4,0.8,45.0,1.7,2.3,73.7,5.8,1.4,0.6,0.7,2.3,2012
Tina Thompson,F,29,18.9,8.9,3.1,7.1,44.2,1.4,3.3,42.7,1.2,1.4,83.3,3.4,0.5,0.5,0.8,1.3,2012
Courtney Vandersloot,G,34,26.6,8.9,3.5,8.6,40.6,0.8,2.5,33.3,1.1,1.7,64.9,2.1,4.6,1.3,0.2,3.3,2012
Monica Wright,G,34,19.4,8.6,3.0,6.6,45.8,0.5,1.3,36.4,2.1,2.8,74.0,2.4,1.9,1.0,0.2,1.9,2012
Tiffany Hayes,G,34,23.1,8.6,2.6,6.8,39.0,0.6,2.3,27.3,2.7,3.4,78.6,3.1,2.1,0.8,0.4,1.5,2012
Jennifer Lacy,F,26,21.9,8.5,3.0,7.6,38.9,1.7,4.2,40.4,0.9,1.4,64.9,2.6,0.8,0.6,0.3,1.4,2012
Shay Murphy,F,29,18.6,8.5,3.0,7.1,42.0,1.6,3.5,44.1,0.9,1.3,73.0,2.9,0.9,1.1,0.2,1.0,2012
Armintie Herrington,G,34,26.6,8.4,3.2,6.2,50.9,0.0,0.1,0.0,2.1,3.5,60.2,3.7,2.5,1.1,0.3,1.7,2012
