Name,POS,GP,G,A,PTS,+/-,PIM,TOI/G,PPG,PPA,S,S%,SHFT,GWG,FW,FL,FO%,SOA,SOG,SO%
Nathan MacKinnon,C,59,21,66,87,18,29,22:58,5,21,238,8.8,1431,3,543,559,49.3,1,0,0.0
Leon Draisaitl,C,58,43,44,87,25,24,21:36,13,12,195,22.1,1266,9,546,451,54.8,0,0,0.0
Nikita Kucherov,RW,54,26,59,85,14,37,21:44,4,29,185,14.1,1261,7,0,1,0.0,1,0,0.0
Connor McDavid,C,52,22,51,73,3,29,22:05,8,17,159,13.8,1097,3,288,313,47.9,1,0,0.0
Mitch Marner,RW,57,18,55,73,11,12,21:30,6,19,131,13.7,1410,6,5,13,27.8,0,0,0.0
David Pastrnak,RW,59,30,42,72,-1,30,20:09,6,11,239,12.6,1379,4,3,4,42.9,1,0,0.0
Kyle Connor,LW,58,30,41,71,10,23,20:12,9,14,191,15.7,1269,6,1,7,12.5,1,1,100.0
Jack Eichel,C,57,19,50,69,29,6,21:02,3,20,178,10.7,1245,1,425,497,46.1,3,2,66.7
Jesper Bratt,LW,59,17,51,68,11,14,18:48,4,22,133,12.8,1368,1,0,3,0.0,2,0,0.0
Jack Hughes,C,59,26,42,68,12,12,20:54,6,21,220,11.8,1343,7,238,398,37.4,2,0,0.0
Mikko Rantanen,RW,57,26,41,67,11,34,22:10,8,11,160,16.3,1346,5,124,109,53.2,2,0,0.0
Mark Scheifele,C,58,32,33,65,7,41,20:22,9,11,125,25.6,1224,9,419,446,48.4,1,0,0.0
Brandon Hagel,LW,57,28,37,65,27,40,21:11,0,7,166,16.9,1389,4,7,15,31.8,0,0,0.0
Clayton Keller,RW,58,21,43,64,-7,16,19:15,6,20,160,13.1,1326,4,9,20,31.0,3,0,0.0
Cale Makar,D,59,22,42,64,16,12,25:46,9,17,183,12.0,1574,3,0,0,0.0,1,0,0.0
Martin Necas,C,59,20,44,64,4,12,18:53,8,16,143,14.0,1182,7,48,79,37.8,1,0,0.0
Sam Reinhart,C,59,31,32,63,12,27,20:22,9,12,154,20.1,1467,3,159,237,40.2,3,1,33.3
Lucas Raymond,LW,58,22,41,63,-4,16,18:58,6,23,134,16.4,1323,3,0,3,0.0,3,2,66.7
Zach Werenski,D,57,18,44,62,11,29,26:50,5,15,209,8.6,1476,4,0,0,0.0,0,0,0.0
Travis Konecny,RW,59,22,40,62,-5,45,20:37,8,7,135,16.3,1429,3,25,48,34.2,6,3,50.0
Sidney Crosby,C,58,18,42,60,-21,21,20:22,6,11,165,10.9,1414,5,737,575,56.2,6,1,16.7
Brayden Point,C,52,31,29,60,7,2,19:40,13,11,135,23.0,1146,6,316,298,51.5,1,0,0.0
Matt Duchene,C,58,23,36,59,10,8,17:20,6,14,108,21.3,1218,6,302,254,54.3,2,1,50.0
Artemi Panarin,LW,56,23,36,59,-10,16,19:39,8,12,167,13.8,1187,1,0,1,0.0,1,0,0.0
Dylan Strome,C,58,18,41,59,15,22,17:31,6,19,107,16.8,1183,2,516,412,55.6,3,0,0.0
Quinn Hughes,D,47,14,45,59,15,27,25:18,3,19,136,10.3,1183,3,0,0,0.0,0,0,0.0
Kirill Marchenko,RW,55,23,36,59,33,12,18:44,2,14,148,15.5,1160,2,11,24,31.4,3,2,66.7
Tim Stutzle,C,57,18,40,58,0,28,19:54,3,20,115,15.7,1385,0,109,146,42.7,2,1,50.0
William Nylander,RW,58,33,25,58,3,14,19:51,8,13,190,17.4,1295,7,66,72,47.8,0,0,0.0
Matthew Tkachuk,LW,52,22,35,57,-3,54,18:13,11,12,156,14.1,1161,2,1,4,20.0,1,0,0.0
Nick Suzuki,C,58,16,41,57,5,6,19:26,3,16,116,13.8,1189,5,441,439,50.1,3,0,0.0
Sebastian Aho,C,57,20,36,56,0,40,20:10,2,15,151,13.2,1276,6,497,395,55.7,2,0,0.0
Jason Robertson,LW,58,24,32,56,3,10,17:50,8,7,163,14.7,1214,4,6,11,35.3,3,2,66.7
Jake Guentzel,C,56,27,28,55,10,16,19:59,13,6,149,18.1,1268,2,133,143,48.2,1,1,100.0
Aleksander Barkov,C,49,14,40,54,2,12,20:19,6,15,107,13.1,1226,2,449,311,59.1,3,2,66.7
Filip Forsberg,LW,57,21,32,53,-14,30,18:44,7,11,205,10.2,1289,2,1,9,10.0,0,0,0.0
Dylan Larkin,C,58,24,29,53,-3,38,20:01,13,9,184,13.0,1365,2,645,509,55.9,2,2,100.0
Gabriel Vilardi,C,58,26,27,53,7,12,17:59,11,11,111,23.4,1155,5,70,69,50.4,0,0,0.0
Kirill Kaprizov,LW,37,23,29,52,19,14,22:24,3,9,128,18.0,758,4,0,2,0.0,1,0,0.0
Mikael Granlund,C,59,15,36,51,-6,22,20:27,5,10,135,11.1,1316,1,333,354,48.5,3,2,66.7
Tage Thompson,C,50,28,23,51,6,15,18:38,4,8,159,17.6,1170,2,210,291,41.9,3,0,0.0
Matt Boldy,LW,58,21,30,51,8,39,19:55,6,9,201,10.4,1112,8,45,54,45.5,4,2,50.0
Cole Caufield,RW,58,27,24,51,-3,14,17:49,8,5,173,15.6,1115,4,2,5,28.6,4,2,50.0
Wyatt Johnston,C,58,17,34,51,9,12,19:11,3,12,156,10.9,1341,2,321,331,49.2,2,1,50.0
Aliaksei Protas,C,58,23,27,50,32,16,16:30,0,1,106,21.7,1248,5,6,16,27.3,1,0,0.0
Marco Rossi,C,58,21,29,50,17,24,18:15,6,5,102,20.6,1053,2,332,361,47.9,1,0,0.0
Mark Stone,RW,44,15,35,50,19,8,19:44,4,17,90,16.7,941,2,4,6,40.0,0,0,0.0
Nikolaj Ehlers,LW,49,18,32,50,16,8,15:48,4,14,121,14.9,938,3,2,8,20.0,0,0,0.0
Alex DeBrincat,RW,58,26,24,50,-12,12,17:33,10,13,157,16.6,1176,4,23,24,48.9,0,0,0.0
John Tavares,C,51,22,27,49,7,28,18:24,8,3,139,15.8,1097,7,508,378,57.3,0,0,0.0
Rickard Rakell,RW,59,25,24,49,-21,10,19:13,5,7,154,16.2,1387,1,12,11,52.2,5,2,40.0
Connor Bedard,C,58,16,33,49,-26,32,20:12,7,16,136,11.8,1202,4,164,299,35.4,3,1,33.3
Shea Theodore,D,55,7,41,48,10,20,22:02,2,17,111,6.3,1381,2,0,0,0.0,1,0,0.0
Adrian Kempe,RW,55,25,23,48,16,24,19:26,4,5,166,15.1,1260,3,7,9,43.8,3,2,66.7
Auston Matthews,C,43,21,27,48,4,20,20:28,5,9,171,12.3,1056,1,458,350,56.7,0,0,0.0
